251,92
249,93
247,95
245,96
243,98
241,99
239,100
237,102
235,103
233,105
230,106
228,108
226,109
224,111
221,113
219,114
216,116
214,117
212,119
209,120
206,122
204,123
201,125
199,126
196,128
193,129
191,131
188,133
185,134
182,136
179,137
176,139
173,140
170,142
167,143
164,145
161,146
158,148
155,150
152,151
149,153
145,154
142,156
139,157
135,159
132,160
128,162
125,163
121,164
118,166
114,167
111,169
107,170
103,171
100,173
96,174
92,175
89,176
85,177
81,178
77,179
73,180
69,181
65,182
67,124
59,183
55,184
52,184
49,184
47,184
44,185
42,184
40,184
38,184
36,184
35,183
33,183
32,183
31,182
30,181
29,181
28,180
28,179
27,179
27,178
26,177
26,176
26,175
26,174
26,174
26,173
26,172
26,171
26,170
26,168
27,167
27,166
28,165
28,164
29,163
30,162
30,161
31,159
32,158
33,157
34,156
35,154
36,153
37,152
38,151
39,149
40,148
42,147
43,145
44,144
46,143
47,141
49,140
50,139
52,137
53,136
55,134
56,133
58,132
60,130
62,129
63,127
65,126
67,124
69,123
71,121
73,120
75,118
77,117
79,116
81,114
83,113
85,111
88,110
90,108
92,107
94,105
97,103
99,102
102,100
104,99
106,97
109,96
112,94
114,93
117,91
119,90
122,88
125,87
127,85
130,83
133,82
136,80
139,79
142,77
145,76
148,74
151,73
154,71
157,70
160,68
163,66
166,65
169,63
173,62
176,60
179,59
183,57
186,56
190,54
193,53
197,52
200,50
204,49
207,47
211,46
215,45
218,43
222,42
226,41
229,40
233,39
237,38
241,37
245,36
249,35
253,34
259,33
263,32
266,32
269,32
271,32
274,32
276,32
278,32
280,32
282,32
283,33
285,33
286,33
287,34
288,35
289,35
290,36
290,37
291,37
291,38
292,39
292,40
292,41
292,42
293,42
292,43
292,44
292,45
292,46
292,48
291,49
291,50
290,51
290,52
289,53
288,54
288,55
287,57
286,58
285,59
284,60
283,62
282,63
281,64
280,65
279,67
278,68
276,69
275,71
274,72
272,73
271,75
269,76
268,77
266,79
265,80
263,82
262,83
260,84
258,86
256,87
255,89
253,90
251,92
